Year,China,France,Germany,Hong Kong,Indonesia,Japan,Malaysia,Philippines,Thailand,United Kingdom,Vietnam,Grand Total
1986-01,0,2354,3809,28250,39136,23158,74017,12503,36307,15208,0,234742
1986-02,0,2005,3272,29466,38245,27570,80574,8060,37464,11692,0,238348
1986-03,0,2613,4267,29858,40800,24810,78575,8121,35498,15221,0,239763
1986-04,0,2391,2766,30413,38796,22879,74100,9515,34266,11201,0,226327
1986-05,0,2482,2909,33516,39902,20040,70610,10924,32790,13128,0,226301
1986-06,0,2406,2901,43448,57022,22518,83946,11631,39753,16374,0,279999
1986-07,0,2475,4530,41451,44004,25910,75099,12492,34247,19734,0,259942
1986-08,0,3222,4389,39209,50871,31834,83366,11690,36750,18898,0,280229
1986-09,0,3095,4688,38655,41478,23890,71503,9525,34193,19455,0,246482
1986-10,0,3273,4629,43712,39239,23610,71651,10918,39769,19126,0,255927
1986-11,0,2483,4243,37124,41452,22345,76215,11823,40679,16459,0,252823
1986-12,0,2337,3747,41536,53676,24925,90337,10642,50991,16969,0,295160
1987-01,855,2310,3780,38957,39953,25960,71776,13218,41326,17975,0,256110
1987-02,1054,2141,3075,33066,41749,28787,79356,12003,44863,12580,0,258674
1987-03,1153,1566,3266,36826,42650,29680,76767,10889,44052,16995,0,263844
1987-04,2401,2389,3585,38312,37385,23817,81563,11631,41639,13534,0,256256
1987-05,2353,2227,3288,38461,45971,28336,77828,11295,40056,14676,0,264491
1987-06,3249,2422,3592,44939,55827,31968,88809,11952,51983,17603,0,312344
1987-07,2265,3270,4590,42150,48019,37512,87120,11187,47097,20997,0,304207
1987-08,1900,3255,4512,39462,56129,40933,91236,12377,51646,20161,0,321611
1987-09,2350,2672,4052,34433,45796,34274,77277,10716,39975,19862,0,271407
1987-10,3166,3022,5221,41322,47204,31212,77371,11041,46914,21121,0,287594
1987-11,2633,2531,5209,37435,47231,31128,80411,10799,49900,16719,0,283996
1987-12,2577,2458,3534,39670,64976,31617,101211,10933,66259,18895,0,342130
1988-01,1910,2551,4726,33910,46861,31976,78611,12812,52827,17907,0,284091
1988-02,2002,2213,4828,33807,49893,34937,84640,12022,52365,15256,0,291963
1988-03,1918,2651,5577,36889,50967,39548,88088,12526,52963,20947,0,312074
1988-04,2654,2138,3359,34981,47902,36704,87356,11527,51159,15414,0,293194
1988-05,2851,1903,4259,36301,50519,35695,83377,11807,48303,15575,0,290590
