month,level_1,level_2,level_3,value
1986-01,Total,South East Asia,Indonesia,1379
1986-01,Total,South East Asia,Malaysia,662
1986-01,Total,South East Asia,Philippines,220
1986-01,Total,South East Asia,Thailand,1460
1986-01,Total,South East Asia,Vietnam,na
1986-01,Total,North East Asia,China,na
1986-01,Total,North East Asia,Hong Kong,981
1986-01,Total,North East Asia,Japan,1548
1986-01,Total,Europe,France,129
1986-01,Total,Europe,Germany,212
1986-01,Total,Europe,United Kingdom,239
1986-02,Total,South East Asia,Indonesia,1124
1986-02,Total,South East Asia,Malaysia,638
1986-02,Total,South East Asia,Philippines,279
1986-02,Total,South East Asia,Thailand,1210
1986-02,Total,South East Asia,Vietnam,na
1986-02,Total,North East Asia,China,na
1986-02,Total,North East Asia,Hong Kong,826
1986-02,Total,North East Asia,Japan,1650
1986-02,Total,Europe,France,107
1986-02,Total,Europe,Germany,186
1986-02,Total,Europe,United Kingdom,226
1986-03,Total,South East Asia,Indonesia,1369
1986-03,Total,South East Asia,Malaysia,861
1986-03,Total,South East Asia,Philippines,420
1986-03,Total,South East Asia,Thailand,1636
1986-03,Total,South East Asia,Vietnam,na
1986-03,Total,North East Asia,China,na
1986-03,Total,North East Asia,Hong Kong,1172
1986-03,Total,North East Asia,Japan,2045
1986-03,Total,Europe,France,146
1986-03,Total,Europe,Germany,247
1986-03,Total,Europe,United Kingdom,259
1986-04,Total,South East Asia,Indonesia,1117
1986-04,Total,South East Asia,Malaysia,826
1986-04,Total,South East Asia,Philippines,307
1986-04,Total,South East Asia,Thailand,1548
1986-04,Total,South East Asia,Vietnam,na
1986-04,Total,North East Asia,China,na
1986-04,Total,North East Asia,Hong Kong,1120
1986-04,Total,North East Asia,Japan,1885
1986-04,Total,Europe,France,124
1986-04,Total,Europe,Germany,262
1986-04,Total,Europe,United Kingdom,259
1986-05,Total,South East Asia,Indonesia,1054
1986-05,Total,South East Asia,Malaysia,891
1986-05,Total,South East Asia,Philippines,240
1986-05,Total,South East Asia,Thailand,1585
1986-05,Total,South East Asia,Vietnam,na
1986-05,Total,North East Asia,China,na
1986-05,Total,North East Asia,Hong Kong,1112
1986-05,Total,North East Asia,Japan,1880
1986-05,Total,Europe,France,109
1986-05,Total,Europe,Germany,215
1986-05,Total,Europe,United Kingdom,263
1986-06,Total,South East Asia,Indonesia,835
1986-06,Total,South East Asia,Malaysia,785
1986-06,Total,South East Asia,Philippines,269
1986-06,Total,South East Asia,Thailand,1387
1986-06,Total,South East Asia,Vietnam,na
1986-06,Total,North East Asia,China,na
1986-06,Total,North East Asia,Hong Kong,1167
1986-06,Total,North East Asia,Japan,1730
1986-06,Total,Europe,France,143
1986-06,Total,Europe,Germany,270
1986-06,Total,Europe,United Kingdom,225
1986-07,Total,South East Asia,Indonesia,1174
1986-07,Total,South East Asia,Malaysia,844
1986-07,Total,South East Asia,Philippines,249
1986-07,Total,South East Asia,Thailand,1482
1986-07,Total,South East Asia,Vietnam,na
1986-07,Total,North East Asia,China,na
1986-07,Total,North East Asia,Hong Kong,1329
1986-07,Total,North East Asia,Japan,1729
1986-07,Total,Europe,France,230
1986-07,Total,Europe,Germany,299
1986-07,Total,Europe,United Kingdom,230
1986-08,Total,South East Asia,Indonesia,1148
1986-08,Total,South East Asia,Malaysia,903
1986-08,Total,South East Asia,Philippines,272
1986-08,Total,South East Asia,Thailand,1426
1986-08,Total,South East Asia,Vietnam,na
1986-08,Total,North East Asia,China,na
1986-08,Total,North East Asia,Hong Kong,1226
1986-08,Total,North East Asia,Japan,1678
1986-08,Total,Europe,France,215
1986-08,Total,Europe,Germany,270
1986-08,Total,Europe,United Kingdom,259
1986-09,Total,South East Asia,Indonesia,1478
1986-09,Total,South East Asia,Malaysia,817
1986-09,Total,South East Asia,Philippines,249
1986-09,Total,South East Asia,Thailand,1410
1986-09,Total,South East Asia,Vietnam,na
1986-09,Total,North East Asia,China,na
1986-09,Total,North East Asia,Hong Kong,1323
1986-09,Total,North East Asia,Japan,1781
1986-09,Total,Europe,France,175
1986-09,Total,Europe,Germany,243
1986-09,Total,Europe,United Kingdom,247
1986-10,Total,South East Asia,Indonesia,1771
1986-10,Total,South East Asia,Malaysia,1011
1986-10,Total,South East Asia,Philippines,287
1986-10,Total,South East Asia,Thailand,1482
1986-10,Total,South East Asia,Vietnam,na
1986-10,Total,North East Asia,China,na
1986-10,Total,North East Asia,Hong Kong,1269
1986-10,Total,North East Asia,Japan,1935
1986-10,Total,Europe,France,236
1986-10,Total,Europe,Germany,256
1986-10,Total,Europe,United Kingdom,251
1986-11,Total,South East Asia,Indonesia,1721
1986-11,Total,South East Asia,Malaysia,916
1986-11,Total,South East Asia,Philippines,254
1986-11,Total,South East Asia,Thailand,1544
1986-11,Total,South East Asia,Vietnam,na
1986-11,Total,North East Asia,China,na
1986-11,Total,North East Asia,Hong Kong,1312
1986-11,Total,North East Asia,Japan,2045
1986-11,Total,Europe,France,282
1986-11,Total,Europe,Germany,254
1986-11,Total,Europe,United Kingdom,318
1986-12,Total,South East Asia,Indonesia,2236
1986-12,Total,South East Asia,Malaysia,850
1986-12,Total,South East Asia,Philippines,203
1986-12,Total,South East Asia,Thailand,1496
1986-12,Total,South East Asia,Vietnam,na
1986-12,Total,North East Asia,China,na
1986-12,Total,North East Asia,Hong Kong,1156
1986-12,Total,North East Asia,Japan,2301
1986-12,Total,Europe,France,226
1986-12,Total,Europe,Germany,215
1986-12,Total,Europe,United Kingdom,282
1987-01,Total,South East Asia,Indonesia,2105
1987-01,Total,South East Asia,Malaysia,828
1987-01,Total,South East Asia,Philippines,234
1987-01,Total,South East Asia,Thailand,1817
1987-01,Total,South East Asia,Vietnam,na
1987-01,Total,North East Asia,China,na
1987-01,Total,North East Asia,Hong Kong,1144
1987-01,Total,North East Asia,Japan,1543
1987-01,Total,Europe,France,180
1987-01,Total,Europe,Germany,167
1987-01,Total,Europe,United Kingdom,228
1987-02,Total,South East Asia,Indonesia,1816
1987-02,Total,South East Asia,Malaysia,781
1987-02,Total,South East Asia,Philippines,282
1987-02,Total,South East Asia,Thailand,1366
1987-02,Total,South East Asia,Vietnam,na
1987-02,Total,North East Asia,China,na
1987-02,Total,North East Asia,Hong Kong,957
1987-02,Total,North East Asia,Japan,1812
1987-02,Total,Europe,France,283
1987-02,Total,Europe,Germany,233
1987-02,Total,Europe,United Kingdom,331
1987-03,Total,South East Asia,Indonesia,1891
1987-03,Total,South East Asia,Malaysia,1092
