month,level_1,level_2,level_3,value
1986-01,Total,South East Asia,Indonesia,965
1986-01,Total,South East Asia,Malaysia,1020
1986-01,Total,South East Asia,Philippines,270
1986-01,Total,South East Asia,Thailand,544
1986-01,Total,South East Asia,Vietnam,na
1986-01,Total,North East Asia,China,na
1986-01,Total,North East Asia,Hong Kong,732
1986-01,Total,North East Asia,Japan,1104
1986-01,Total,Europe,France,228
1986-01,Total,Europe,Germany,274
1986-01,Total,Europe,United Kingdom,493
1986-02,Total,South East Asia,Indonesia,736
1986-02,Total,South East Asia,Malaysia,921
1986-02,Total,South East Asia,Philippines,207
1986-02,Total,South East Asia,Thailand,461
1986-02,Total,South East Asia,Vietnam,na
1986-02,Total,North East Asia,China,na
1986-02,Total,North East Asia,Hong Kong,557
1986-02,Total,North East Asia,Japan,1007
1986-02,Total,Europe,France,196
1986-02,Total,Europe,Germany,251
1986-02,Total,Europe,United Kingdom,529
1986-03,Total,South East Asia,Indonesia,1140
1986-03,Total,South East Asia,Malaysia,1197
1986-03,Total,South East Asia,Philippines,269
1986-03,Total,South East Asia,Thailand,545
1986-03,Total,South East Asia,Vietnam,na
1986-03,Total,North East Asia,China,na
1986-03,Total,North East Asia,Hong Kong,671
1986-03,Total,North East Asia,Japan,1454
1986-03,Total,Europe,France,244
1986-03,Total,Europe,Germany,339
1986-03,Total,Europe,United Kingdom,686
1986-04,Total,South East Asia,Indonesia,1056
1986-04,Total,South East Asia,Malaysia,982
1986-04,Total,South East Asia,Philippines,269
1986-04,Total,South East Asia,Thailand,515
1986-04,Total,South East Asia,Vietnam,na
1986-04,Total,North East Asia,China,na
1986-04,Total,North East Asia,Hong Kong,702
1986-04,Total,North East Asia,Japan,1357
1986-04,Total,Europe,France,206
1986-04,Total,Europe,Germany,402
1986-04,Total,Europe,United Kingdom,827
1986-05,Total,South East Asia,Indonesia,892
1986-05,Total,South East Asia,Malaysia,932
1986-05,Total,South East Asia,Philippines,248
1986-05,Total,South East Asia,Thailand,547
1986-05,Total,South East Asia,Vietnam,na
1986-05,Total,North East Asia,China,na
1986-05,Total,North East Asia,Hong Kong,887
1986-05,Total,North East Asia,Japan,1359
1986-05,Total,Europe,France,195
1986-05,Total,Europe,Germany,305
1986-05,Total,Europe,United Kingdom,711
1986-06,Total,South East Asia,Indonesia,804
1986-06,Total,South East Asia,Malaysia,897
1986-06,Total,South East Asia,Philippines,236
1986-06,Total,South East Asia,Thailand,491
1986-06,Total,South East Asia,Vietnam,na
1986-06,Total,North East Asia,China,na
1986-06,Total,North East Asia,Hong Kong,776
1986-06,Total,North East Asia,Japan,1264
1986-06,Total,Europe,France,193
1986-06,Total,Europe,Germany,267
1986-06,Total,Europe,United Kingdom,694
1986-07,Total,South East Asia,Indonesia,834
1986-07,Total,South East Asia,Malaysia,990
1986-07,Total,South East Asia,Philippines,344
1986-07,Total,South East Asia,Thailand,555
1986-07,Total,South East Asia,Vietnam,na
1986-07,Total,North East Asia,China,na
1986-07,Total,North East Asia,Hong Kong,965
1986-07,Total,North East Asia,Japan,1479
1986-07,Total,Europe,France,183
1986-07,Total,Europe,Germany,342
1986-07,Total,Europe,United Kingdom,739
1986-08,Total,South East Asia,Indonesia,1022
1986-08,Total,South East Asia,Malaysia,1015
1986-08,Total,South East Asia,Philippines,299
1986-08,Total,South East Asia,Thailand,521
1986-08,Total,South East Asia,Vietnam,na
1986-08,Total,North East Asia,China,na
1986-08,Total,North East Asia,Hong Kong,1039
1986-08,Total,North East Asia,Japan,1458
1986-08,Total,Europe,France,188
1986-08,Total,Europe,Germany,341
1986-08,Total,Europe,United Kingdom,814
1986-09,Total,South East Asia,Indonesia,892
1986-09,Total,South East Asia,Malaysia,1132
1986-09,Total,South East Asia,Philippines,344
1986-09,Total,South East Asia,Thailand,554
1986-09,Total,South East Asia,Vietnam,na
1986-09,Total,North East Asia,China,na
1986-09,Total,North East Asia,Hong Kong,992
1986-09,Total,North East Asia,Japan,1480
1986-09,Total,Europe,France,253
1986-09,Total,Europe,Germany,459
1986-09,Total,Europe,United Kingdom,874
1986-10,Total,South East Asia,Indonesia,892
1986-10,Total,South East Asia,Malaysia,1195
1986-10,Total,South East Asia,Philippines,384
1986-10,Total,South East Asia,Thailand,687
1986-10,Total,South East Asia,Vietnam,na
