month,total-air-cargo-discharged-in-tonnes
1986-01,14366
1986-02,14160
1986-03,17874
1986-04,16329
1986-05,15779
1986-06,14919
1986-07,15670
1986-08,15352
1986-09,16052
1986-10,16798
1986-11,17036
1986-12,18289
1987-01,16133
1987-02,16392
1987-03,20063
1987-04,18021
1987-05,18491
1987-06,17149
1987-07,18650
1987-08,17816
1987-09,18267
1987-10,19265
1987-11,20893
1987-12,21021
1988-01,20746
1988-02,20540
1988-03,21777
1988-04,20826
1988-05,20875
1988-06,20490
1988-07,22080
1988-08,21467
1988-09,23711
1988-10,23743
1988-11,22972
1988-12,24413
1989-01,22606
1989-02,21455
1989-03,25775
1989-04,24192
1989-05,23556
1989-06,23705
1989-07,25712
1989-08,25113
1989-09,25007
1989-10,26796
1989-11,26218
1989-12,27063
1990-01,24192
1990-02,24527
1990-03,29115
1990-04,25032
1990-05,25741
1990-06,25954
1990-07,27462
1990-08,27776
1990-09,28745
1990-10,28807
1990-11,27813
1990-12,28993
1991-01,26203
1991-02,26700
1991-03,29632
1991-04,26036
1991-05,28296
1991-06,29931
1991-07,28744
1991-08,28568
1991-09,28500
1991-10,29103
1991-11,29658
1991-12,30890
1992-01,29338
1992-02,28242
1992-03,32411
1992-04,28401
1992-05,31960
1992-06,31442
1992-07,32814
1992-08,32634
1992-09,33359
1992-10,36099
1992-11,35084
1992-12,35008
1993-01,30985
1993-02,31367
1993-03,37257
1993-04,33468
1993-05,36012
1993-06,35703
1993-07,38181
1993-08,37556
1993-09,38372
1993-10,42145
1993-11,40636
1993-12,42337
1994-01,38916
1994-02,37593
1994-03,44145
1994-04,41650
1994-05,43106
1994-06,43803
1994-07,45072
1994-08,43998
1994-09,46715
1994-10,49106
1994-11,47196
1994-12,48034
1995-01,42776
1995-02,41199
1995-03,48903
1995-04,47350
1995-05,47160
1995-06,49443
1995-07,50858
1995-08,48786
1995-09,49657
1995-10,50593
1995-11,49644
1995-12,51380
1996-01,46781
1996-02,45801
1996-03,50946
1996-04,48842
1996-05,49864
1996-06,50765
1996-07,51291
1996-08,52565
1996-09,52920
1996-10,57185
1996-11,56747
1996-12,58312
1997-01,53829
1997-02,48620
1997-03,61658
1997-04,56075
1997-05,57132
1997-06,57398
1997-07,59240
1997-08,59388
1997-09,58680
1997-10,63482
1997-11,60753
1997-12,60455
1998-01,49888
1998-02,47665
1998-03,58323
1998-04,52924
1998-05,55102
1998-06,54045
1998-07,56037
1998-08,52094
1998-09,52852
1998-10,56775
1998-11,57986
1998-12,57876
1999-01,52625
1999-02,51827
1999-03,60510
1999-04,57650
1999-05,62455
1999-06,60804
1999-07,64740
1999-08,62909
1999-09,65727
1999-10,73155
1999-11,70867
1999-12,73502
2000-01,62269
2000-02,61985
2000-03,72265
2000-04,67743
2000-05,69244
2000-06,70702
2000-07,76466
2000-08,71890
2000-09,73351
2000-10,75362
2000-11,73779
2000-12,73213
2001-01,60632
2001-02,62492
2001-03,69790
2001-04,63539
2001-05,63725
2001-06,64579
2001-07,64393
2001-08,66837
2001-09,65900
2001-10,66969
2001-11,65878
2001-12,65904
2002-01,61368
2002-02,61347
2002-03,75412
2002-04,68846
2002-05,69868
2002-06,71239
2002-07,69987
2002-08,70257
2002-09,69676
2002-10,73929
2002-11,72705
2002-12,69856
2003-01,64622
2003-02,59194
2003-03,73118
2003-04,64548
2003-05,64516
2003-06,64636
2003-07,65411
2003-08,66107
2003-09,68008
2003-10,73101
2003-11,70356
2003-12,69439
2004-01,60969
2004-02,67524
2004-03,75464
2004-04,70276
2004-05,73942
2004-06,72388
2004-07,75399
2004-08,72406
2004-09,75690
2004-10,79469
2004-11,73059
2004-12,73996
2005-01,69692
2005-02,63528
2005-03,75610
2005-04,74176
2005-05,71766
2005-06,73215
2005-07,76296
2005-08,74150
2005-09,77368
2005-10,81073
2005-11,75146
2005-12,80121
2006-01,72244
2006-02,69017
2006-03,86437
2006-04,78714
2006-05,77563
2006-06,77641
2006-07,79976
2006-08,79366
2006-09,81586
2006-10,81113
2006-11,85273
2006-12,83946
2007-01,72649
2007-02,69464
2007-03,84747
2007-04,77386
2007-05,76507
2007-06,83443
2007-07,81309
2007-08,81941
2007-09,82860
2007-10,83477
2007-11,86056
2007-12,84034
2008-01,78786
2008-02,73582
2008-03,86898
2008-04,79834
2008-05,82736
2008-06,82623
2008-07,83579
2008-08,83782
2008-09,80330
2008-10,77496
2008-11,75315
2008-12,66978
2009-01,62147
2009-02,59129
2009-03,68856
2009-04,64887
2009-05,70592
2009-06,70425
2009-07,73599
2009-08,73312
2009-09,71974
2009-10,77921
2009-11,78345
2009-12,75484
2010-01,73111
2010-02,68237
2010-03,81577
2010-04,76567
2010-05,79865
2010-06,77573
2010-07,82864
2010-08,81119
2010-09,77525
2010-10,83621
2010-11,79102
2010-12,80242
2011-01,77448
2011-02,67217
2011-03,85849
2011-04,81936
2011-05,83185
2011-06,80432
2011-07,85423
2011-08,81566
2011-09,81046
2011-10,86053
2011-11,84790
2011-12,88164
2012-01,71971
2012-02,76678
2012-03,87084
2012-04,78613
2012-05,81679
2012-06,82126
2012-07,83923
2012-08,80483
2012-09,82879
2012-10,81872
2012-11,84085
2012-12,84450
2013-01,77480
2013-02,70381
2013-03,92352
2013-04,80847
2013-05,83107
2013-06,84160
2013-07,86847
2013-08,81808
2013-09,81925
2013-10,85076
2013-11,86645
2013-12,85180
2014-01,82037
2014-02,69580
2014-03,93187
2014-04,82325
2014-05,86679
2014-06,84215
2014-07,85558
2014-08,84774
2014-09,83012
2014-10,86550
2014-11,80860
2014-12,85783
2015-01,81868
2015-02,75577
2015-03,89020
2015-04,83906
2015-05,86951
2015-06,82191
2015-07,83093
2015-08,82970
2015-09,84352
2015-10,88227
2015-11,87839
2015-12,89302
2016-01,87273
2016-02,75421
2016-03,94346
2016-04,90487
2016-05,88582
2016-06,89695
2016-07,89264
2016-08,89609
2016-09,90914
2016-10,96388
2016-11,94516
2016-12,97505
2017-01,88349
2017-02,80438
2017-03,103454
2017-04,94333
2017-05,96958
2017-06,92154
2017-07,96410
2017-08,97761
2017-09,99228
