month,Total Air Cargo Loaded
1986-01,10990
1986-02,10515
1986-03,13279
1986-04,13154
1986-05,12897
1986-06,11954
1986-07,13314
1986-08,13385
1986-09,14313
1986-10,15517
1986-11,15702
1986-12,15162
1987-01,12721
1987-02,13447
1987-03,16481
1987-04,15884
1987-05,15874
1987-06,15281
1987-07,16579
1987-08,16080
1987-09,18113
1987-10,18518
1987-11,19049
1987-12,18911
1988-01,17143
1988-02,17452
1988-03,20715
1988-04,21266
1988-05,18871
1988-06,20545
1988-07,20734
1988-08,20142
1988-09,21905
1988-10,23850
1988-11,23219
1988-12,23027
1989-01,19974
1989-02,19221
1989-03,25170
1989-04,24150
1989-05,21890
1989-06,22062
1989-07,23099
1989-08,23469
1989-09,24936
1989-10,25631
1989-11,25778
1989-12,25032
1990-01,21071
1990-02,20561
1990-03,27329
1990-04,23950
1990-05,23589
1990-06,25417
1990-07,24389
1990-08,24338
1990-09,25781
1990-10,27786
1990-11,27681
1990-12,27792
1991-01,23450
1991-02,22651
1991-03,28623
1991-04,23905
1991-05,24619
1991-06,24680
1991-07,24459
1991-08,23891
1991-09,25272
1991-10,26554
1991-11,26889
1991-12,25955
1992-01,23759
1992-02,21718
1992-03,28301
1992-04,24652
1992-05,27084
1992-06,26115
1992-07,27663
1992-08,27800
1992-09,29767
1992-10,32237
1992-11,31827
1992-12,31289
1993-01,25856
1993-02,27777
1993-03,33848
1993-04,31200
1993-05,32430
1993-06,31284
1993-07,32866
1993-08,32050
1993-09,35466
1993-10,37976
1993-11,35940
1993-12,37704
1994-01,32246
1994-02,31013
1994-03,39815
1994-04,37453
1994-05,38993
1994-06,40228
1994-07,41443
1994-08,40946
1994-09,44012
1994-10,46217
1994-11,44003
1994-12,44061
1995-01,39089
1995-02,36893
1995-03,46471
1995-04,45245
1995-05,42175
1995-06,45554
1995-07,44502
1995-08,42724
1995-09,45958
1995-10,46034
1995-11,47414
1995-12,45965
1996-01,40706
1996-02,38718
1996-03,49841
1996-04,44795
1996-05,46929
1996-06,47084
1996-07,46084
1996-08,47661
1996-09,50053
1996-10,52514
1996-11,51728
1996-12,52325
1997-01,47867
1997-02,42434
1997-03,58424
1997-04,53882
1997-05,53601
1997-06,53028
1997-07,54200
1997-08,54866
1997-09,55024
1997-10,57831
1997-11,54666
1997-12,53721
1998-01,44972
1998-02,44882
1998-03,56654
1998-04,50047
1998-05,52224
1998-06,51736
1998-07,53920
1998-08,52686
1998-09,54820
1998-10,57397
1998-11,56682
1998-12,56073
1999-01,50555
1999-02,49359
1999-03,63144
1999-04,57668
1999-05,59282
1999-06,59770
1999-07,62013
1999-08,61237
