month,total-air-passenger-arrivals
1961-01,11814
1961-02,11027
1961-03,12703
1961-04,13159
1961-05,12221
1961-06,11532
1961-07,13655
1961-08,13501
1961-09,12974
1961-10,13619
1961-11,13505
1961-12,14951
1962-01,13149
1962-02,12196
1962-03,13230
1962-04,15300
1962-05,14352
1962-06,12694
1962-07,14982
1962-08,15403
1962-09,14135
1962-10,14856
1962-11,16290
1962-12,16798
1963-01,14446
1963-02,13284
1963-03,15993
1963-04,17141
1963-05,16200
1963-06,13854
1963-07,17634
1963-08,18278
1963-09,14838
1963-10,14671
1963-11,16172
1963-12,16308
1964-01,15535
1964-02,16771
1964-03,16948
1964-04,16668
1964-05,17118
1964-06,14445
1964-07,16281
1964-08,16701
1964-09,14978
1964-10,17096
1964-11,18245
1964-12,19886
1965-01,17864
1965-02,16988
1965-03,18571
1965-04,20258
1965-05,20468
1965-06,16531
1965-07,21019
1965-08,21032
1965-09,17825
1965-10,19327
1965-11,19738
1965-12,22930
1966-01,19674
1966-02,18502
1966-03,19554
1966-04,22266
1966-05,21311
1966-06,20129
1966-07,23641
1966-08,24238
1966-09,21791
1966-10,23914
1966-11,25337
1966-12,29729
1967-01,24505
1967-02,24067
1967-03,26357
1967-04,29351
1967-05,29076
1967-06,25634
1967-07,31159
1967-08,33547
1967-09,29002
1967-10,30752
1967-11,31148
1967-12,35570
1968-01,30783
1968-02,28879
1968-03,31072
1968-04,35549
1968-05,34114
1968-06,31357
1968-07,34943
1968-08,38365
1968-09,33023
1968-10,36237
1968-11,36340
1968-12,42090
1969-01,37132
1969-02,35154
1969-03,38858
1969-04,43755
1969-05,41822
1969-06,37321
1969-07,45684
1969-08,47886
1969-09,43589
1969-10,47946
1969-11,49994
1969-12,58243
1970-01,48859
1970-02,43746
1970-03,49349
1970-04,58256
1970-05,56988
1970-06,52885
1970-07,62957
1970-08,68000
1970-09,58346
1970-10,55454
1970-11,57083
1970-12,70361
1971-01,62376
1971-02,54479
1971-03,60113
1971-04,65937
1971-05,67710
1971-06,61183
1971-07,68405
1971-08,77061
1971-09,68807
1971-10,75122
1971-11,74253
1971-12,90266
1972-01,73856
1972-02,76131
1972-03,79351
1972-04,78939
1972-05,80308
1972-06,78715
1972-07,84288
1972-08,93504
1972-09,85054
1972-10,91530
1972-11,93452
1972-12,114086
1973-01,101191
1973-02,97305
1973-03,98999
1973-04,108029
1973-05,104081
1973-06,105185
1973-07,113821
1973-08,123210
1973-09,113284
1973-10,120407
1973-11,124820
1973-12,140413
1974-01,126613
1974-02,107737
1974-03,114903
1974-04,118574
1974-05,114174
1974-06,120309
1974-07,124890
1974-08,136623
1974-09,117991
1974-10,123795
1974-11,125167
1974-12,152456
1975-01,129839
1975-02,117525
1975-03,128896
1975-04,129237
1975-05,126822
1975-06,128888
1975-07,134183
1975-08,155478
1975-09,139073
1975-10,141101
1975-11,145183
1975-12,170856
1976-01,148025
1976-02,138978
1976-03,142358
1976-04,144777
1976-05,147145
1976-06,147230
1976-07,155606
1976-08,174385
1976-09,154373
1976-10,156788
1976-11,158555
1976-12,191285
1977-01,167788
1977-02,147337
1977-03,161478
1977-04,164168
1977-05,161790
1977-06,170447
1977-07,182838
1977-08,199961
1977-09,172769
1977-10,177291
1977-11,187406
1977-12,213437
1978-01,187574
1978-02,168272
1978-03,183520
1978-04,188724
1978-05,191494
1978-06,195129
1978-07,205855
1978-08,229990
1978-09,202499
1978-10,209060
1978-11,215825
1978-12,232313
1979-01,208225
1979-02,184416
1979-03,205632
1979-04,214303
1979-05,209815
1979-06,231142
1979-07,239553
1979-08,252611
1979-09,224760
1979-10,237348
1979-11,244982
1979-12,267393
1980-01,235030
1980-02,227555
1980-03,246262
1980-04,240343
1980-05,246876
1980-06,264753
1980-07,271505
1980-08,298606
1980-09,250091
1980-10,267687
1980-11,275384
1980-12,316631
1981-01,271695
1981-02,265569
1981-03,272334
1981-04,275944
1981-05,274595
1981-06,311813
1981-07,318493
1981-08,344177
1981-09,289059
1981-10,307745
1981-11,314739
1981-12,350941
1982-01,315469
1982-02,277433
1982-03,298032
1982-04,291148
1982-05,294788
1982-06,335718
1982-07,338064
1982-08,346210
1982-09,295237
1982-10,315451
1982-11,323149
1982-12,356712
1983-01,300961
1983-02,288663
1983-03,307881
1983-04,292871
1983-05,308903
1983-06,338558
1983-07,328601
1983-08,340724
1983-09,310620
1983-10,320816
1983-11,314848
1983-12,377274
1984-01,315986
1984-02,314134
1984-03,322277
1984-04,338332
1984-05,339986
1984-06,369957
1984-07,356897
1984-08,374408
1984-09,345375
1984-10,352784
1984-11,344060
1984-12,406556
1985-01,334655
1985-02,327810
1985-03,363037
1985-04,344261
1985-05,340648
1985-06,394034
1985-07,368822
1985-08,386580
1985-09,346416
1985-10,348699
1985-11,347526
1985-12,421099
1986-01,351690
1986-02,335961
1986-03,350807
1986-04,339869
1986-05,343197
1986-06,397467
1986-07,374864
1986-08,405325
1986-09,366205
1986-10,372229
1986-11,369299
1986-12,438663
1987-01,387737
1987-02,370152
1987-03,389745
1987-04,384072
1987-05,393555
1987-06,444972
1987-07,439286
1987-08,462816
1987-09,409104
1987-10,418928
1987-11,413716
1987-12,503080
1988-01,434586
1988-02,427020
1988-03,460889
1988-04,441331
1988-05,432584
1988-06,489884
1988-07,492727
1988-08,503542
1988-09,459639
1988-10,478253
1988-11,490338
1988-12,575657
1989-01,503277
1989-02,479227
1989-03,531121
1989-04,493376
1989-05,499419
1989-06,556166
1989-07,563253
1989-08,564009
1989-09,547359
1989-10,547632
1989-11,562760
1989-12,643360
1990-01,575999
1990-02,550233
1990-03,593583
1990-04,569759
1990-05,568501
1990-06,625306
1990-07,614922
1990-08,634344
1990-09,578388
1990-10,593080
1990-11,613762
1990-12,719356
1991-01,567832
1991-02,509004
1991-03,557524
1991-04,573539
1991-05,578018
1991-06,695234
1991-07,655008
1991-08,694305
1991-09,642882
1991-10,647559
1991-11,671302
1991-12,792334
1992-01,645687
1992-02,685426
1992-03,647530
1992-04,669028
1992-05,636005
1992-06,740278
1992-07,735130
1992-08,750683
1992-09,695113
1992-10,684323
1992-11,717685
1992-12,839139
1993-01,769736
1993-02,664491
1993-03,750191
1993-04,735878
